Venue: 1968 Mystery Reels, Various, Various
Venue: Alembic Studios, San Francisco, Ca
Venue: Alembic Studios, San Francisco, CA
Venue: Anthem Of The Sun Live, Compilation, Various
Venue: Avalon Ballroom, San Francisco, CA
Venue: Bellarmine College, Louisville, KY
Venue: Berkeley Community Theater, Berkeley, CA
Venue: Betty Nelson's Organic Raspberry Farm, Sultan, WA
Venue: carousel ballroom, san francisco, ca
Venue: Carousel Ballroom, San Francisco, CA
Venue: Central Park, New York, NY
Venue: Columbus Veterans Hall, Columbus, OH
Venue: Crystal Ballroom, Portland, OR
Venue: Del Mar Fairgrounds, San Diego, CA
Venue: Eagles Auditorium, Seatlle, WA
Venue: Eagle's Auditorium, Seattle, WA
Venue: Eagles Auditorium, Seattle, WA
Venue: Electric Circus, New York, NY
Venue: Electric Factory, Philadelphia, PA
Venue: Erb Memorial Union Ballroom, Eugene, OR
Venue: Fillmore East (Early Show), New York, NY
Venue: Fillmore East (Late Show), New York, NY
Venue: Fillmore East, New York, NY
Venue: Fillmore West, San Francisco, CA
Venue: Grande Ballroom, Detroit, MI
Venue: Greek Theatre, U. Of California, Berkeley, CA
Venue: Green St., San Francisco, CA
Venue: Gulfstream Park Racetrack, Hallandale, FL
Venue: Gym, South Oregon College, Ashland, OR
Venue: Gym, S.U.N.Y., Stony Brook, NY
Venue: Haight Street, San Francisco, CA
Venue: Hyde Park Teen Center, Cincinnati, OH
Venue: Jefferson Airplane House, San Francisco, CA
Venue: King's Beach Bowl, Lake Tahoe, CA
Venue: Longshoreman's Hall, San Francisco, CA
Venue: Low Library Plaza, Columbia U., New York, NY
Venue: Matrix, San Francisco, CA
Venue: Melodyland Theater, Anaheim, CA
Venue: Memorial Auditorium, Ohio University, Athens, OH
Venue: National Guard Armory, St. Louis, MO
Venue: Orange County Fairgrounds, Costa Mesa, CA
Venue: Pacific High Recording, San Mateo, CA
Venue: Pacific Recording Studio, San Mateo, CA
Venue: Palace of Fine Arts Theatre, San Francisco, CA
Venue: Port, Portland, OR
Venue: Russian River Festival, Santa Rosa, CA
Venue: Sacramento Memorial Auditorium, Sacramento, CA
Venue: SAN FRANCISCO,CA, SAN FRANCISCO, CA
Venue: Santa Clara County Fairgrounds, San Jose, CA
Venue: Selland Arena, Fresno, CA
Venue: Shrine Auditorium, Los Angeles, CA
Venue: Shrine Exhibition Hall, Los Angeles, CA
Venue: State Fair Coliseum, Detroit, MI
Venue: Studio, San Mateo, CA
Venue: The Bank, Torrance, CA
Venue: The Crystal Ballroom, Portland, OR
Venue: The Dome, Virginia Beach, VA
Venue: Thee Image, Miami Beach, Miami, FL
Venue: The Eureka Municipal Auditorium, Eureka, CA
Venue: The Fillmore West, San Francisco, CA
Venue: The Hippodrome, San Diego, CA
Venue: The Kinetic Playground, Chicago, IL
Venue: The Looking Glass, Walnut Creek, CA
Venue: The Matrix, San Francisco, CA
Venue: The Silver Dollar Fair, Chico, CA
Venue: The Spectrum, Philadelphia, PA
Venue: Unknown Location, Houston, TX
Venue: Unknown or Various, Unknown, Unknown
Venue: Unknown, Unknown, Unknown
Venue: Winterland Arena, San Francisco, CA
