Venue: Acid Test Reels - 1965-1967, Acid Test, CA
Venue: Acid Tests, various, CA
Venue: Afterthought, Vancouver, BC
Venue: A.I.A.A. Hall, Los Angeles, CA
Venue: Archives Volume 1, Studios, CA
Venue: Avalon Ballroom, San Francisco, CA
Venue: California Hall, San Francisco, CA
Venue: Carthay Studios, Los Angeles, CA
Venue: Commons, S.F. State College, San Francisco, CA
Venue: Continental Ballroom, Santa Clara, CA
Venue: Danish Center, Los Angeles, CA
Venue: Fillmore Auditorium, San Francisco, CA
Venue: Fillmore Auditorium, S.F., CA
Venue: Fillmore West, San Francisco, CA
Venue: GD Hour 557, Unknown, Unknown
Venue: GD HOUR 557, unknown, unknown
Venue: Golden Gate Park, San Francisco, CA
Venue: Governor's Hall, Sacramento, CA
Venue: Harmon Gym, U. of California, Berkeley, CA
Venue: I.D.B.S. Hall, Pescadero, CA
Venue: Ivar Theater, Los Angeles, CA
Venue: Ivar Theather, Los Angeles, CA
Venue: KFRC studio, San Francisco, CA
Venue: La Dolphine, Hillsborough, CA
Venue: Las Lomas High School, Walnut Creek, CA
Venue: Longshoreman's Hall, San Francisco, CA
Venue: Mt. Tamalpais Amphitheatre, Marin County, CA
Venue: Northridge Unitarian Church, Los Angeles, CA
Venue: Pauley Ballroom, Berkeley, CA
Venue: Pauley Ballroom, U. of California, Berkeley, CA
Venue: Pioneer Ballroom, Suisun City, CA
Venue: P.N.E. Garden Auditorium, Vancouver, BC
Venue: Rancho Otompali, Novato, CA
Venue: Rancho Otompall, Novato, CA
Venue: Santa Venetia Armory, San Rafael, CA
Venue: Scorpio Studio Outtakes, San Francisco, CA
Venue: SF State College, San Francisco, CA
Venue: Sound City Acid Test, San Francisco, CA
Venue: Speedway Meadows G. Gate Park, San Francisco, CA
Venue: Studio: 1st album outtakes, San Francisco, CA
Venue: The Heliport, Sausalito, CA
Venue: The Matrix, San Francisco, CA
Venue: The North Face Ski Shop, Berkeley, CA
Venue: The Old Cheese Factory, San Francisco, CA
Venue: The Questing Beast, Berkeley, CA
Venue: The Unsurpassed Dead Demos, various studio, demos
Venue: Trouper's Hall, Los Angeles, CA
Venue: Troupers Hall, Los Angeles, CA
Venue: Unknown Location, San Francisco, CA
Venue: Unknown location, Unknown City, Unknown
Venue: Unknown, Los Angeles, CA
Venue: Unknown (perhaps Fillmore Auditorium), San Francisco, CA
Venue: Unknown, Unknown, CA
Venue: unknown, unknown, unknown
Venue: Unknown, Unknown, Unknown
Venue: U. of Ca. Medical Center, San Francisco, CA
Venue: Various, Various, CA
Venue: Various, Various, Compilation
Venue: Veterans Memorial Hall, Berkeley, CA
Venue: Veterans Memorial Hall, San Jose, CA
Venue: Vintage and Historic Dead, Unknown, Unknown
Venue: Viola Lee Blues Rehearsals, Unknown, CA
Venue: Viola Lee Blues Rehearsals, Unknown, Unknown
Venue: Winterland Arena, San Francisco, CA
Venue: Youth Opportunities Center, Compton, CA
