Venue: Alpine Valley Music Theatre, East Troy, WI
Venue: Anaheim Stadium, Anaheim, CA
Venue: Autzen Stadium, U. of Oregon, Eugene, OR
Venue: Backstage 1987, various, various
Venue: Calaveras Co. Fairgrounds, Angel's Camp, CA
Venue: Calaveras County Fairgrounds, Angels Camp, CA
Venue: Capital Centre, Landover, MD
Venue: Civic Arena, Pittsburgh, PA
Venue: Club Front, San Rafael, CA
Venue: Compilation, Compiliation, Unknown
Venue: Compton Terrace Amphitheatre, Tempe, AZ
Venue: Frost Amphitheatre, Palo Alto, CA
Venue: Giants Stadium, East Rutherford, NJ
Venue: Grateful Dead/Brent Mydland Interview, Unknown, Unknown
Venue: Greek Theatre, Berkeley, CA
Venue: Greek Theatre, U. Of California, Berkeley, CA
Venue: Hampton Coliseum, Hampton, VA
Venue: Hartford Civic Center, Hartford, CT
Venue: Henry J Kaiser Convention Center, Oakland, CA
Venue: Henry J. Kaiser Convention Center, Oakland, CA
Venue: History Of The Dead, Various, Various
Venue: Irvine Meadows, Irvine, CA
Venue: John F Kennedy Stadium, Philadelphia, PA
Venue: Justin Kreutzmann video outtakes, Various, Various
Venue: Kingswood Music Theater, Maple, ON
Venue: Laguna Seca News Clips, Monterey, CA
Venue: Laguna Seca Recreation Area, Monterey, CA
Venue: Long Beach Arena, Long Beach, CA
Venue: Madison Square Garden, New York, NY
Venue: Meadowlands Arena, East Rutherford, NJ
Venue: MTV's Day Of The Dead, Various, Various
Venue: NBC Studios, New York, NY
Venue: Oakland-Alameda County Coliseum Arena, Oakland, CA
Venue: Oakland-Alameda County Coliseum, Oakland, CA
Venue: Oakland-Alameda County Stadium, Oakland, CA
Venue: Park West Ski Resort, Park City, UT
Venue: Providence Civic Center, Providence, RI
Venue: Red Rocks Ampitheatre, Morrison, CO
Venue: Rehearsals, Oxford, ME
Venue: Rehearsals, Unknown, Unknown
Venue: Roanoke Civic Center, Roanoke, VA
Venue: San Francisco Civic Auditorium, San Francisco, CA
Venue: Shoreline Amphitheatre, Mountain View, CA
Venue: Silver Stadium, Rochester, NY
Venue: Studio, San Rafael, CA
Venue: Sullivan Stadium, Foxboro, MA
Venue: The Centrum, Worcester, MA
Venue: The Spectrum, Philadelphia, PA
Venue: Town Park, Telluride, CO
Venue: UIC Pavilion, Chicago, IL
Venue: Unknown, New York, NY
Venue: Ventura County Fairgrounds, Ventura, CA
Venue: Warfield Theatre, San Francisco, CA
